model,dataset,csv,sweep_samples,search_iterations,candidate_iterations,max_concurrency,max_runners,dpu_cores,warmup,final_warmup,final_repeats,quick_sweep,stage,run_id,repeat,profile,runners,pre_workers,post_workers,slots_per_runner,total_slots,pin,iterations,samples,cpu_cores,throughput_fps,latency_mean_ms,latency_median_ms,latency_min_ms,latency_max_ms,latency_p95_ms,latency_p99_ms,dpu_mean_ms,preprocess_mean_ms,postprocess_mean_ms,io_mean_ms,wall_s,power_sensor_count,power_samples,power_mean_w,power_min_w,power_max_w,energy_j,status,result_dir
"methane_mobilenet_v3.xmodel","/home/root/STARCOP_test","/home/root/STARCOP_test/test.csv",5,5,5,2,2,2,2,20,1,true,60_final_c1,60_final_c1__max_e2e__r2_pre1_post1_spr1_nopin__rep1__n5__samples5__cpu0,1,max-e2e,2,1,1,1,2,false,5,5,0,4.41608119145,400.256772,395.89757,384.15082,423.77415,421.16164,423.251648,210.98802,163.136064,6.140076,123.889792,1.13222556,1,7,14.8872857143,14.412,15.45,16.8557654047,ok,"/home/root/Benchmark_ZCU104/results_all_models/methane_mobilenet_v3/runs/60_final_c1__max_e2e__r2_pre1_post1_spr1_nopin__rep1__n5__samples5__cpu0"
"methane_mobilenet_v3.xmodel","/home/root/STARCOP_test","/home/root/STARCOP_test/test.csv",5,5,5,2,2,2,2,20,1,true,60_final_c2,60_final_c2__max_e2e__r2_pre2_post1_spr1_nopin__rep1__n5__samples5__cpu0,1,max-e2e,2,2,1,1,2,false,5,5,0,4.3996422035,516.58235,585.48871,386.5217,617.09063,612.696342,616.2117724,212.971498,165.277466,6.100264,126.042514,1.13645605,1,7,14.7568571429,14.412,15.062,16.770519579,ok,"/home/root/Benchmark_ZCU104/results_all_models/methane_mobilenet_v3/runs/60_final_c2__max_e2e__r2_pre2_post1_spr1_nopin__rep1__n5__samples5__cpu0"
"methane_mobilenet_v3.xmodel","/home/root/STARCOP_test","/home/root/STARCOP_test/test.csv",5,5,5,2,2,2,2,20,1,true,60_final_c3,60_final_c3__max_e2e__r1_pre2_post1_spr1_nopin__rep1__n5__samples5__cpu0,1,max-e2e,1,2,1,1,1,false,5,5,0,2.63580297423,813.167452,965.63957,384.08571,975.08577,974.865936,975.0418032,208.779966,164.227464,6.04882,125.116696,1.89695514,1,11,14.9145454545,14.412,15.75,28.2922236608,ok,"/home/root/Benchmark_ZCU104/results_all_models/methane_mobilenet_v3/runs/60_final_c3__max_e2e__r1_pre2_post1_spr1_nopin__rep1__n5__samples5__cpu0"
