grupo,tp,fp,fn,tn,precision,recall,f1,iou,fpr,acuracia
global,486945,120205,1822043,895414007,0.802017623322,0.210891091682,0.333965676521,0.2004554599,0.000134227144412,0.997836762588
forte,188279,103387,502499,70771147,0.645529475496,0.272560793772,0.383286986332,0.237077937204,0.00145873269516,0.991533803416
fraca,298666,1903,1319544,375605103,0.99366867508,0.184565662059,0.311308389346,0.184348869492,5.06646566651e-06,0.996496928244
sem_pluma,0,14915,0,449037757,0,0,0,0,3.3214366443e-05,0.999966785634
