modelo,id,dificuldade,tp,fp,fn,tn,precision,recall,f1,iou,fpr,acuracia
"methane_baseline.xmodel","ang20190922t192642_r0_c256_w512_h512",sem_pluma,0,0,0,262144,0,0,0,0,0,1
"methane_baseline.xmodel","ang20190922t192642_r10752_c0_w512_h512",sem_pluma,0,0,0,262144,0,0,0,0,0,1
"methane_baseline.xmodel","ang20190922t192642_r512_c256_w512_h512",sem_pluma,0,0,0,262144,0,0,0,0,0,1
"methane_baseline.xmodel","ang20190922t192642_r9472_c0_w512_h512",sem_pluma,0,0,0,262144,0,0,0,0,0,1
"methane_baseline.xmodel","ang20190922t192642_r2048_c0_w512_h512",sem_pluma,0,0,0,262144,0,0,0,0,0,1
"methane_baseline.xmodel","ang20190922t192642_r10240_c0_w512_h512",sem_pluma,0,0,0,262144,0,0,0,0,0,1
"methane_baseline.xmodel","ang20190922t192642_r7680_c0_w512_h512",sem_pluma,0,0,0,262144,0,0,0,0,0,1
"methane_baseline.xmodel","ang20190922t194340_r0_c256_w512_h512",sem_pluma,0,0,0,262144,0,0,0,0,0,1
"methane_baseline.xmodel","ang20190922t194340_r9984_c0_w512_h512",sem_pluma,0,0,0,262144,0,0,0,0,0,1
"methane_baseline.xmodel","ang20190922t194340_r9472_c0_w512_h512",sem_pluma,0,0,0,262144,0,0,0,0,0,1
"methane_baseline.xmodel","ang20190922t194340_r3328_c0_w512_h512",sem_pluma,0,0,0,262144,0,0,0,0,0,1
"methane_baseline.xmodel","ang20190922t194340_r7936_c0_w512_h512",sem_pluma,0,0,0,262144,0,0,0,0,0,1
"methane_baseline.xmodel","ang20190922t194340_r8448_c0_w512_h512",sem_pluma,0,0,0,262144,0,0,0,0,0,1
"methane_baseline.xmodel","ang20190922t194340_r6144_c0_w512_h512",sem_pluma,0,0,0,262144,0,0,0,0,0,1
"methane_baseline.xmodel","ang20190922t203229_r256_c512_w512_h512",sem_pluma,0,0,0,262144,0,0,0,0,0,1
"methane_baseline.xmodel","ang20190922t203229_r8192_c256_w512_h512",sem_pluma,0,0,0,262144,0,0,0,0,0,1
"methane_baseline.xmodel","ang20190922t203229_r768_c512_w512_h512",sem_pluma,0,0,0,262144,0,0,0,0,0,1
"methane_baseline.xmodel","ang20190922t203229_r3328_c512_w512_h512",sem_pluma,0,0,0,262144,0,0,0,0,0,1
"methane_baseline.xmodel","ang20190922t203229_r10752_c512_w512_h512",sem_pluma,0,0,0,262144,0,0,0,0,0,1
"methane_baseline.xmodel","ang20190922t203229_r5632_c256_w512_h512",sem_pluma,0,0,0,262144,0,0,0,0,0,1
"methane_baseline.xmodel","ang20190922t203229_r1280_c768_w512_h512",sem_pluma,0,0,0,262144,0,0,0,0,0,1
"methane_baseline.xmodel","ang20190923t163307_r0_c0_w512_h512",sem_pluma,0,0,0,262144,0,0,0,0,0,1
"methane_baseline.xmodel","ang20190923t163307_r10752_c0_w512_h512",sem_pluma,0,0,0,262144,0,0,0,0,0,1
"methane_baseline.xmodel","ang20190923t163307_r1024_c0_w512_h512",sem_pluma,0,0,0,262144,0,0,0,0,0,1
"methane_baseline.xmodel","ang20190923t163307_r5120_c256_w512_h512",sem_pluma,0,0,0,262144,0,0,0,0,0,1
