grupo,tp,fp,fn,tn,precision,recall,f1,iou,fpr,acuracia
global,974860,245472,1334128,895288740,0.798848182298,0.422202280826,0.552435029977,0.381630559883,0.000274106780859,0.998240672759
forte,765517,182972,1199816,132855855,0.807091068004,0.389510072848,0.525438410445,0.356335343445,0.00137532782065,0.989757441548
fraca,209343,57897,134312,310763376,0.783352043107,0.60916616956,0.685364915411,0.521334721281,0.000186271034287,0.99938229221
sem_pluma,0,4603,0,451669509,0,0,0,0,1.0190975922e-05,0.999989809024
