grupo,tp,fp,fn,tn,precision,recall,f1,iou,fpr,acuracia
global,134403,89269,56249,89373327,0.600893272292,0.704965067243,0.64878211255,0.480146184102,0.000997836011823,0.998376879776
forte,110775,17491,33901,14780041,0.863634946128,0.765676407974,0.811710912941,0.683092121085,0.00118202143439,0.996560615406
fraca,23595,7989,22068,28520044,0.747055471125,0.51672032061,0.610897510583,0.439778573026,0.000280040337867,0.99894808848
sem_pluma,33,63789,280,46073242,0.000517063081696,0.105431309904,0.00102907928588,0.00051480453028,0.00138259871989,0.998611341823
