grupo,tp,fp,fn,tn,precision,recall,f1,iou,fpr,acuracia
global,6531,5400,184121,89457196,0.547397535831,0.0342561315905,0.0644772759807,0.0333125905372,6.0360421466e-05,0.997886066548
forte,6312,27,138364,14797505,0.9957406531,0.0436285216622,0.0835943449326,0.0436203810564,1.82462859347e-06,0.990738249662
fraca,219,51,45444,28527982,0.811111111111,0.00479600551869,0.00953562797988,0.00479065494159,1.78771526239e-06,0.998407801357
sem_pluma,0,5322,313,46131709,0,0,0,0,0.000115352026011,0.999877864664
